t,dose,q_e,q_c,q_p
6.137413741374138,0.0,0.0009653661140331795,0.017957272679117828,0.028090713219191012
6.138213821382139,0.0,0.0009645917587787294,0.017951787382168568,0.028082607996605724
6.139013901390139,0.0,0.000963818035707828,0.017946303753936056,0.02807450486182439
6.13981398139814,0.0,0.0009630449443537939,0.017940821793902224,0.028066403814491072
6.140614061406141,0.0,0.0009622724842500675,0.01793534150154924,0.02805830485424989
6.141414141414142,0.0,0.00096150065493021,0.017929862876359507,0.028050207980744993
6.142214221422142,0.0,0.0009607294559279042,0.017924385917815665,0.028042113193620585
6.143014301430143,0.0,0.0009599588867769504,0.017918910625400568,0.028034020492520868
6.143814381438144,0.0,0.0009591889470112729,0.017913436998597317,0.028025929877090114
6.144614461446145,0.0,0.0009584196361649162,0.017907965036889247,0.02801784134697262
6.145414541454145,0.0,0.0009576509537720453,0.017902494739759914,0.02800975490181273
6.146214621462146,0.0,0.0009568828993669447,0.01789702610669311,0.028001670541254797
6.147014701470147,0.0,0.0009561154724840213,0.01789155913717286,0.027993588264943237
6.147814781478148,0.0,0.0009553486726578024,0.017886093830683424,0.027985508072522498
6.148614861486148,0.0,0.0009545824994229366,0.017880630186709295,0.027977429963637064
6.1494149414941495,0.0,0.0009538169523141911,0.01787516820473518,0.02796935393793144
6.1502150215021505,0.0,0.000953052030866456,0.017869707884246043,0.027961279995050187
6.1510151015101515,0.0,0.0009522877346147419,0.017864249224727062,0.0279532081346379
6.151815181518152,0.0,0.0009515240630941801,0.017858792225663667,0.027945138356339203
6.152615261526153,0.0,0.0009507610158400213,0.01785333688654149,0.027937070659798755
6.153415341534154,0.0,0.0009499985923876386,0.017847883206846417,0.02792900504466126
6.154215421542155,0.0,0.0009492367922725255,0.017842431186064562,0.027920941510571458
6.155015501550155,0.0,0.0009484756150302967,0.017836980823682277,0.027912880057174128
6.155815581558156,0.0,0.0009477150601966858,0.017831532119186123,0.027904820684114068
6.156615661566157,0.0,0.0009469551273075488,0.017826085072062917,0.027896763391036125
6.157415741574158,0.0,0.0009461958158988626,0.0178206396817997,0.02788870817758519
6.158215821582158,0.0,0.0009454371255067252,0.01781519594788375,0.027880655043406193
6.159015901590159,0.0,0.0009446790556673527,0.017809753869802554,0.02787260398814407
6.15981598159816,0.0,0.0009439216059170849,0.017804313447043862,0.027864555011443824
6.160616061606161,0.0,0.000943164775792381,0.017798874679095637,0.027856508112950484
6.161416141614161,0.0,0.0009424085648298224,0.017793437565446085,0.02784846329230913
6.162216221622162,0.0,0.0009416529725661084,0.01778800210558363,0.02784042054916484
6.163016301630163,0.0,0.0009408979985380621,0.01778256829899694,0.02783237988316277
6.163816381638164,0.0,0.0009401436422826257,0.01777713614517491,0.02782434129394809
6.1646164616461645,0.0,0.0009393899033368635,0.017771705643606674,0.027816304781166028
6.1654165416541655,0.0,0.0009386367812379581,0.01776627679378158,0.027808270344461816
6.1662166216621666,0.0,0.0009378842755232152,0.017760849595189226,0.027800237983480747
6.167016701670168,0.0,0.0009371323857300605,0.017755424047319435,0.02779220769786814
6.167816781678168,0.0,0.0009363811113960416,0.01775000014966227,0.02778417948726937
6.168616861686169,0.0,0.0009356304520588238,0.017744577901708008,0.02777615335132981
6.16941694169417,0.0,0.0009348804072561961,0.017739157302947173,0.02776812928969491
6.170217021702171,0.0,0.0009341309765260674,0.017733738352870516,0.027760107302010128
6.171017101710171,0.0,0.000933382159406468,0.017728321050969026,0.02775208738792099
6.171817181718172,0.0,0.0009326339554355467,0.017722905396733907,0.02774406954707301
6.172617261726173,0.0,0.0009318863641515755,0.017717491389656614,0.027736053779111786
6.173417341734174,0.0,0.0009311393850929461,0.017712079029228826,0.027728040083682928
6.174217421742174,0.0,0.0009303930177981723,0.017706668314942456,0.027720028460432103
6.175017501750175,0.0,0.0009296472618058857,0.017701259246289642,0.027712018909004973
6.175817581758176,0.0,0.0009289021166548415,0.01769585182276276,0.027704011429047277
6.176617661766177,0.0,0.0009281575818839147,0.01769044604385442,0.027696006020204784
6.177417741774177,0.0,0.0009274136570321019,0.017685041909057467,0.02768800268212329
6.178217821782178,0.0,0.0009266703416385179,0.01767963941786496,0.027680001414448624
6.179017901790179,0.0,0.0009259276352424012,0.0176742385697702,0.027672002216826662
6.17981798179818,0.0,0.0009251855373831095,0.017668839364266737,0.02766400508890331
6.180618061806181,0.0,0.0009244440476001228,0.017663441800848334,0.027656010030324522
6.181418141814182,0.0,0.0009237031654330389,0.01765804587900898,0.02764801704073627
6.182218221822183,0.0,0.0009229628904215792,0.017652651598242912,0.027640026119784573
6.183018301830184,0.0,0.0009222232221055848,0.017647258958044594,0.027632037267115488
6.183818381838184,0.0,0.0009214841600250186,0.017641867957908723,0.027624050482375123
6.184618461846185,0.0,0.0009207457037199616,0.017636478597330217,0.027616065765209575
6.185418541854186,0.0,0.0009200078527306181,0.017631090875804244,0.027608083115265032
6.186218621862187,0.0,0.0009192706065973129,0.017625704792826186,0.027600102532187684
6.187018701870187,0.0,0.0009185339648604913,0.017620320347891676,0.02759212401562379
6.187818781878188,0.0,0.0009177979270607178,0.017614937540496554,0.02758414756521959
6.188618861886189,0.0,0.0009170624927386797,0.01760955637013692,0.027576173180621423
6.18941894189419,0.0,0.0009163276614351846,0.017604176836309084,0.027568200861475625
6.19021902190219,0.0,0.0009155934326911612,0.01759879893850961,0.027560230607428595
6.191019101910191,0.0,0.0009148598060476571,0.01759342267623526,0.027552262418126732
6.191819181918192,0.0,0.0009141267810458427,0.017588048048983056,0.027544296293216506
6.192619261926192,0.0,0.0009133943572270094,0.017582675056250257,0.027536332232344418
6.193419341934193,0.0,0.0009126625341325665,0.01757730369753432,0.027528370235156988
6.194219421942194,0.0,0.0009119313113040474,0.01757193397233297,0.027520410301300785
6.1950195019501955,0.0,0.0009112006882831044,0.01756656588014414,0.027512452430422413
6.195819581958196,0.0,0.0009104706646115121,0.01756119942046602,0.02750449662216853
6.196619661966197,0.0,0.0009097412398311635,0.017555834592796995,0.027496542876185786
6.197419741974198,0.0,0.0009090124134840743,0.017550471396635712,0.02748859119212091
6.198219821982199,0.0,0.0009082841851123802,0.017545109831481043,0.02748064156962065
6.199019901990199,0.0,0.0009075565542583392,0.017539749896832095,0.027472694008331803
6.1998199819982,0.0,0.0009068295204643266,0.017534391592188187,0.027464748507901177
6.200620062006201,0.0,0.0009061030832728421,0.017529034917048894,0.027456805067975636
6.201420142014202,0.0,0.0009053772422265039,0.01752367987091401,0.027448863688202083
6.202220222022202,0.0,0.0009046519968680534,0.017518326453283575,0.02744092436822746
6.203020302030203,0.0,0.0009039273467403489,0.017512974663657838,0.027432987107698717
6.203820382038204,0.0,0.0009032032913863729,0.017507624501537294,0.02742505190626287
6.204620462046205,0.0,0.0009024798303492272,0.017502275966422672,0.027417118763566964
6.205420542054205,0.0,0.0009017569631721359,0.017496929057814935,0.02740918767925809
6.206220622062206,0.0,0.0009010346893984407,0.01749158377521526,0.027401258652983342
6.207020702070207,0.0,0.0009003130085716071,0.01748624011812508,0.027393331684389885
6.207820782078208,0.0,0.0008995919202352199,0.017480898086046037,0.027385406773124912
6.2086208620862084,0.0,0.0008988714239329864,0.01747555767848003,0.027377483918835654
6.2094209420942095,0.0,0.0008981515192087312,0.01747021889492916,0.027369563121169355
6.2102210221022105,0.0,0.000897432205606403,0.017464881734895788,0.02736164437977333
6.2110211021102115,0.0,0.00089671348267007,0.017459546197882488,0.02735372769429491
6.211821182118212,0.0,0.0008959953499439221,0.017454212283392084,0.027345813064381483
6.212621262126213,0.0,0.0008952778069722673,0.017448879990927608,0.027337900489680433
6.213421342134214,0.0,0.0008945608532995374,0.017443549319992344,0.027329989969839222
6.214221422142215,0.0,0.0008938444884702835,0.0174382202700898,0.027322081504505328
6.215021502150215,0.0,0.0008931287120291787,0.017432892840723718,0.027314175093326284
6.215821582158216,0.0,0.0008924135235210143,0.017427567031398063,0.027306270735949625
6.216621662166217,0.0,0.0008916989224907048,0.01742224284161705,0.027298368432022952
6.217421742174218,0.0,0.0008909849084832847,0.01741692027088511,0.0272904681811939
6.218221822182218,0.0,0.0008902714810439101,0.01741159931870692,0.02728256998311013
6.219021902190219,0.0,0.0008895586397178554,0.017406279984587363,0.027274673837419345
6.21982198219822,0.0,0.0008888463840505183,0.017400962268031585,0.02726677974376928
6.220622062206221,0.0,0.0008881347135874161,0.01739564616854495,0.02725888770180772
6.221422142214221,0.0,0.0008874236278741882,0.017390331685633056,0.027250997711182477
6.222222222222222,0.0,0.0008867131264565921,0.017385018818801723,0.027243109771541388
6.223022302230223,0.0,0.0008860032088805085,0.017379707567557013,0.027235223882532345
6.223822382238224,0.0,0.000885293874691938,0.017374397931405224,0.027227340043803273
6.2246224622462245,0.0,0.000884585123437003,0.017369089909852885,0.027219458255002136
6.2254225422542255,0.0,0.000883876954661944,0.017363783502406735,0.027211578515776914
6.226222622262227,0.0,0.0008831693679131248,0.017358478708573773,0.02720370082577565
6.227022702270228,0.0,0.0008824623627370292,0.01735317552786122,0.02719582518464641
6.227822782278228,0.0,0.0008817559386802627,0.01734787395977653,0.027187951592037303
6.228622862286229,0.0,0.0008810500952895488,0.01734257400382738,0.027180080047596464
6.22942294229423,0.0,0.0008803448321117344,0.017337275659521686,0.027172210550972072
6.230223022302231,0.0,0.0008796401486937866,0.0173319789263676,0.027164343101812344
6.231023102310231,0.0,0.0008789360445827933,0.01732668380387351,0.027156477699765542
6.231823182318232,0.0,0.0008782325193259621,0.017321390291548007,0.027148614344479936
6.232623262326233,0.0,0.0008775295724706225,0.01731609838889995,0.02714075303560386
6.233423342334234,0.0,0.0008768272035642246,0.017310808095438408,0.027132893772785674
6.234223422342234,0.0,0.0008761254121543398,0.017305519410672703,0.02712503655567379
6.235023502350235,0.0,0.0008754241977886584,0.017300232334112355,0.027117181383916614
6.235823582358236,0.0,0.0008747235600149929,0.01729494686526714,0.02710932825716264
6.236623662366237,0.0,0.0008740234983812767,0.017289663003647072,0.027101477175060364
6.237423742374237,0.0,0.0008733240124355644,0.017284380748762384,0.027093628137258345
6.238223822382238,0.0,0.0008726251017260292,0.017279100100123533,0.02708578114340515
6.239023902390239,0.0,0.0008719267658009668,0.017273821057241224,0.0270779361931494
6.23982398239824,0.0,0.0008712290042087939,0.017268543619626393,0.027070093286139747
6.240624062406241,0.0,0.0008705318164980479,0.0172632677867902,0.0270622524220249
6.241424142414242,0.0,0.000869835202217385,0.01725799355824404,0.02705441360045356
6.242224222422243,0.0,0.0008691391609155846,0.017252720933499534,0.027046576821074503
6.243024302430244,0.0,0.0008684436921415457,0.01724744991206855,0.027038742083536533
6.243824382438244,0.0,0.0008677487954442892,0.017242180493463183,0.027030909387488495
6.244624462446245,0.0,0.0008670544703729544,0.017236912677195744,0.02702307873257924
6.245424542454246,0.0,0.0008663607164768036,0.01723164646277879,0.027015250118457693
6.246224622462247,0.0,0.0008656675333052192,0.017226381849725116,0.027007423544772802
6.247024702470247,0.0,0.0008649749204077051,0.01722111883754774,0.026999599011173554
6.247824782478248,0.0,0.0008642828773338837,0.0172158574257599,0.026991776517308958
6.248624862486249,0.0,0.0008635914036335001,0.01721059761387509,0.026983956062828076
6.24942494249425,0.0,0.0008629004988564203,0.017205339401407026,0.02697613764738
6.25022502250225,0.0,0.0008622101625526308,0.017200082787869653,0.026968321270613875
6.251025102510251,0.0,0.0008615203942722374,0.017194827772777144,0.02696050693217885
6.251825182518252,0.0,0.0008608311935654683,0.017189574355643913,0.02695269463172413
6.252625262526252,0.0,0.0008601425599826732,0.01718432253598461,0.02694488436889897
6.253425342534253,0.0,0.0008594544930743196,0.017179072313314094,0.026937076143352626
6.254225422542254,0.0,0.0008587669923909983,0.017173823687147483,0.026929269954734422
6.2550255025502555,0.0,0.0008580800574834205,0.01716857665700011,0.02692146580269371
6.255825582558256,0.0,0.0008573936879024184,0.017163331222387553,0.02691366368687988
6.256625662566257,0.0,0.0008567078831989429,0.017158087382825607,0.02690586360694234
6.257425742574258,0.0,0.0008560226429240675,0.017152845137830306,0.02689806556253056
6.258225822582259,0.0,0.0008553379666289871,0.01714760448691792,0.026890269553294037
6.259025902590259,0.0,0.0008546538538650164,0.017142365429604952,0.026882475578882306
6.25982598259826,0.0,0.0008539703041835898,0.017137127965408117,0.026874683638944928
6.260626062606261,0.0,0.0008532873171362641,0.01713189209384439,0.026866893733131513
6.261426142614262,0.0,0.0008526048922747165,0.01712665781443096,0.026859105861091706
6.262226222622262,0.0,0.0008519230291507456,0.01712142512668526,0.026851320022475193
6.263026302630263,0.0,0.0008512417273162683,0.017116194030124935,0.026843536216931675
6.263826382638264,0.0,0.000850560986323325,0.017110964524267882,0.026835754444110908
6.264626462646265,0.0,0.0008498808057240757,0.017105736608632224,0.026827974703662688
6.265426542654265,0.0,0.0008492011850708021,0.01710051028273632,0.02682019699523685
6.266226622662266,0.0,0.0008485221239159041,0.01709528554609874,0.02681242131848323
6.267026702670267,0.0,0.0008478436218119054,0.017090062398238313,0.02680464767305174
6.267826782678268,0.0,0.0008471656783114492,0.01708484083867409,0.026796876058592323
6.2686268626862685,0.0,0.0008464882929672999,0.01707962086692535,0.02678910647475495
6.2694269426942695,0.0,0.000845811465332341,0.017074402482511603,0.02678133892118962
6.2702270227022705,0.0,0.0008451351949595791,0.017069185684952595,0.02677357339754638
6.2710271027102715,0.0,0.00084445948140214,0.017063970473768307,0.026765809903475317
6.271827182718272,0.0,0.0008437843242132721,0.01705875684847895,0.026758048438626558
6.272627262726273,0.0,0.0008431097229463414,0.01705354480860496,0.026750289002650238
6.273427342734274,0.0,0.0008424356771548373,0.017048334353667014,0.026742531595196562
6.274227422742275,0.0,0.0008417621863923696,0.017043125483186015,0.026734776215915756
6.275027502750275,0.0,0.000841089250212669,0.017037918196683103,0.026727022864458095
6.275827582758276,0.0,0.000840416868169585,0.017032712493679644,0.026719271540473863
6.276627662766277,0.0,0.00083974503981709,0.01702750837369724,0.0267115222436134
6.277427742774278,0.0,0.0008390737647092768,0.017022305836257724,0.0267037749735271
6.278227822782278,0.0,0.0008384030424003594,0.017017104880883167,0.02669602972986536
6.279027902790279,0.0,0.0008377328724446701,0.017011905507095852,0.026688286512278624
6.27982798279828,0.0,0.0008370632543966648,0.01700670771441832,0.026680545320417387
6.280628062806281,0.0,0.0008363941878109192,0.017001511502373327,0.026672806153932162
6.281428142814281,0.0,0.0008357256722421301,0.016996316870483873,0.026665069012473522
6.282228222822282,0.0,0.0008350577072451133,0.016991123818273175,0.026657333895692043
6.283028302830283,0.0,0.0008343902923748078,0.016985932345264687,0.026649600803238364
6.283828382838284,0.0,0.0008337234271862718,0.016980742450982102,0.02664186973476315
6.2846284628462845,0.0,0.0008330571112346862,0.01697555413494935,0.026634140689917124
6.2854285428542855,0.0,0.0008323913440753493,0.016970367396690566,0.026626413668351
6.286228622862287,0.0,0.000831726125263683,0.016965182235730146,0.026618688669715566
6.287028702870288,0.0,0.000831061454355229,0.0169599986515927,0.02661096569366164
6.287828782878288,0.0,0.0008303973309056508,0.016954816643803085,0.026603244739840076
6.288628862886289,0.0,0.0008297337544707305,0.016949636211886374,0.02659552580790175
6.28942894289429,0.0,0.0008290707246063724,0.01694445735536788,0.02658780889749759
6.290229022902291,0.0,0.0008284082408686021,0.01693928007377315,0.02658009400827856
6.291029102910291,0.0,0.0008277463028135654,0.016934104366627963,0.026572381139895664
6.291829182918292,0.0,0.0008270849099975277,0.016928930233458317,0.026564670291999923
6.292629262926293,0.0,0.0008264240619768768,0.016923757673790462,0.02655696146424241
6.293429342934294,0.0,0.0008257637583081209,0.016918586687150863,0.026549254656274234
6.294229422942294,0.0,0.0008251039985478892,0.016913417273066236,0.026541549867746546
6.295029502950295,0.0,0.0008244447822529302,0.0169082494310635,0.026533847098310512
6.295829582958296,0.0,0.0008237861089801145,0.016903083160669834,0.026526146347617362
6.296629662966297,0.0,0.0008231279782864337,0.016897918461412635,0.026518447615318342
6.297429742974297,0.0,0.0008224703897289999,0.01689275533281954,0.02651075090106475
6.298229822982298,0.0,0.0008218133428650447,0.016887593774418404,0.0265030562045079
6.299029902990299,0.0,0.0008211568372519223,0.016882433785737328,0.026495363525299166
6.2998299829983,0.0,0.0008205008724471065,0.016877275366304637,0.026487672863089944
6.300630063006301,0.0,0.0008198454480081931,0.016872118515648897,0.026479984217531678
6.301430143014302,0.0,0.0008191905634928967,0.016866963233298886,0.026472297588275823
6.302230223022303,0.0,0.0008185362184590544,0.016861809518783643,0.026464612974973906
6.303030303030304,0.0,0.0008178824124646235,0.016856657371632413,0.026456930377277466
6.303830383038304,0.0,0.0008172291450676825,0.016851506791374694,0.026449249794838096
6.304630463046305,0.0,0.0008165764158264293,0.01684635777754019,0.0264415712273074
6.305430543054306,0.0,0.000815924224299184,0.01684121032965887,0.02643389467433704
6.306230623062307,0.0,0.0008152725700443872,0.0168360644472609,0.026426220135578715
6.307030703070307,0.0,0.0008146214526206003,0.016830920129876713,0.026418547610684157
6.307830783078308,0.0,0.0008139708715865043,0.016825777377036936,0.026410877099305112
6.308630863086309,0.0,0.0008133208265009023,0.016820636188272464,0.0264032086010934
6.30943094309431,0.0,0.000812671316922718,0.0168154965631144,0.026395542115700856
6.31023102310231,0.0,0.0008120223424109964,0.0168103585010941,0.026387877642779365
6.311031103110311,0.0,0.000811373902524901,0.016805222001743125,0.02638021518198082
6.311831183118312,0.0,0.0008107259968237183,0.01680008706459328,0.026372554732957187
