t,dose,q_e,q_c,q_p
7.230723072307231,0.0,0.002491978009299698,0.004324203814517971,0.006037422061363627
7.231723172317232,0.0,0.002490731856208491,0.004322862268360872,0.006035694872779604
7.232723272327233,0.0,0.002489486327949189,0.004321520993771113,0.006033968105445591
7.233723372337233,0.0,0.002488241424215265,0.004320179990467331,0.006032241759495136
7.234723472347235,0.0,0.0024869971447003003,0.004318839258169788,0.0060305158350607594
7.2357235723572355,0.0,0.0024857534890979894,0.00431749879660037,0.0060287903322739575
7.236723672367237,0.0,0.002484510457102132,0.004316158605482584,0.006027065251265193
7.237723772377238,0.0,0.0024832680484066384,0.004314818684541559,0.006025340592163906
7.238723872387239,0.0,0.0024820262627055258,0.004313479033504045,0.006023616355098501
7.23972397239724,0.0,0.0024807850996929237,0.00431213965209842,0.006021892540196361
7.24072407240724,0.0,0.0024795445590630677,0.004310800540054679,0.006020169147583835
7.241724172417242,0.0,0.002478304640510301,0.004309461697104441,0.006018446177386244
7.2427242724272425,0.0,0.0024770653437290804,0.004308123122980948,0.006016723629727887
7.243724372437244,0.0,0.002475826668413966,0.004306784817419064,0.006015001504732025
7.244724472447245,0.0,0.002474588614259632,0.004305446780155276,0.006013279802520899
7.245724572457246,0.0,0.002473351180960857,0.004304109010927693,0.006011558523215716
7.246724672467247,0.0,0.0024721143682125313,0.0043027715094760485,0.0060098376669366575
7.247724772477247,0.0,0.0024708781757096536,0.004301434275541694,0.006008117233802875
7.248724872487249,0.0,0.0024696426031473283,0.004300097308867606,0.006006397223932491
7.2497249724972495,0.0,0.0024684076502207745,0.004298760609198385,0.006004677637442601
7.250725072507251,0.0,0.0024671733166253145,0.004297424176280251,0.006002958474449272
7.251725172517252,0.0,0.002465939602056384,0.00429608800986105,0.006001239735067541
7.252725272527253,0.0,0.002464706506209523,0.004294752109690246,0.005999521419411418
7.253725372537254,0.0,0.0024634740287803854,0.004293416475518929,0.005997803527593886
7.254725472547255,0.0,0.0024622421694647286,0.0042920811070998105,0.005996086059726894
7.255725572557256,0.0,0.002461010927958424,0.004290746004187224,0.005994369015921369
7.256725672567256,0.0,0.0024597803039574486,0.004289411166537126,0.005992652396287206
7.257725772577258,0.0,0.0024585502971578876,0.004288076593907094,0.0059909362009332705
7.2587258725872585,0.0,0.0024573209072559386,0.004286742286056331,0.005989220429967404
7.25972597259726,0.0,0.002456092133947904,0.004285408242745658,0.0059875050834964135
7.260726072607261,0.0,0.002454863976930199,0.004284074463737524,0.005985790161626084
7.261726172617262,0.0,0.0024536364358993435,0.004282740948795994,0.005984075664461167
7.262726272627263,0.0,0.0024524095105519705,0.0042814076976867635,0.005982361592105388
7.263726372637263,0.0,0.002451183200584819,0.004280074710177143,0.005980647944661444
7.264726472647265,0.0,0.002449957505694736,0.004278741986036067,0.005978934722231001
7.2657265726572655,0.0,0.0024487324255786816,0.004277409525034097,0.005977221924914699
7.266726672667267,0.0,0.002447507959933719,0.004276077326943412,0.005975509552812149
7.267726772677268,0.0,0.0024462841084570263,0.004274745391537817,0.005973797606021934
7.268726872687269,0.0,0.0024450608708458856,0.004273413718592735,0.005972086084641608
7.26972697269727,0.0,0.0024438382467976906,0.004272082307885216,0.005970374988767697
7.27072707270727,0.0,0.002442616236009943,0.004270751159193932,0.005968664318495697
7.271727172717272,0.0,0.0024413948381802513,0.004269420272299172,0.005966954073920075
7.2727272727272725,0.0,0.0024401740530063383,0.004268089646982855,0.005965244255134275
7.273727372737274,0.0,0.0024389538801860284,0.004266759283028518,0.005963534862230705
7.274727472747275,0.0,0.0024377343194172626,0.0042654291802213225,0.0059618258953007515
7.275727572757276,0.0,0.002436515370398083,0.004264099338348049,0.005960117354434765
7.276727672767277,0.0,0.002435297032826647,0.004262769757197105,0.005958409239722077
7.277727772777277,0.0,0.0024340793064012178,0.0042614404365585185,0.005956701551250982
7.278727872787279,0.0,0.002432862190820166,0.004260111376223938,0.005954994289108748
7.2797279727972795,0.0,0.002431645685781975,0.004258782575986638,0.0059532874533816185
7.280728072807281,0.0,0.0024304297909852335,0.004257454035641511,0.005951581044154804
7.281728172817282,0.0,0.002429214506128642,0.004256125754985079,0.005949875061512491
7.282728272827283,0.0,0.002427999830911006,0.00425479773381548,0.00594816950553783
7.283728372837284,0.0,0.002426785765031245,0.0042534699719324765,0.005946464376312953
