t,dose,q_c,q_p1,q_p2
0.0,2.0,0.0,0.0,0.0
0.001000100010001,2.0,0.0019972037496314354,1.997069557838878e-06,0.0
0.002000200020002,2.0,0.003988432241115339,7.974984508945676e-06,0.0
0.003000300030003,2.0,0.005973711306373846,1.7913875977245726e-05,0.0
0.004000400040004,2.0,0.007953066655457246,3.179397010926463e-05,0.0
0.005000500050005001,2.0,0.009926523884186564,4.959558210777954e-05,0.0
0.006000600060006,2.0,0.011894108474202934,7.129911619328065e-05,0.0
0.0070007000700070005,2.0,0.013855845792967607,9.68850656039711e-05,0.0
0.008000800080008,2.0,0.01581176109376192,0.0001263340125957671,0.0
0.009000900090009001,2.0,0.01776187951568734,0.00015962662844229775,0.0
0.010001000100010001,2.0,0.01970622608366542,0.0001967436734349053,0.0
0.011001100110011002,2.0,0.021644825708437832,0.00023766599688264476,0.0
0.012001200120012,2.0,0.023577705677628662,0.0002823725923707604,0.0
0.013001300130013,2.0,0.025504893924097168,0.00033084194963367694,0.0
0.014001400140014001,2.0,0.027426414462957696,0.00038305561681838775,0.0
0.015001500150015001,2.0,0.02934229119314989,0.00043899523264742896,0.0
0.016001600160016,2.0,0.03125254792844835,0.0004986425022100436,0.0
0.017001700170017002,2.0,0.03315720839746263,0.0005619791969621818,0.0
0.018001800180018002,2.0,0.035056296243637236,0.0006289871547265006,0.0
0.019001900190019003,2.0,0.03694983502525161,0.0006996482796923641,0.0
0.020002000200020003,2.0,0.03883784821542016,0.0007739445424158433,0.0
0.021002100210021003,2.0,0.04072035920209226,0.000851857979819716,0.0
0.022002200220022004,2.0,0.04259739128805218,0.0009333706951934675,0.0
0.023002300230023004,2.0,0.04446896769091921,0.0010184648581932894,0.0
0.024002400240024,2.0,0.04633511154314753,0.0011071227048420806,0.0
0.025002500250025,2.0,0.048195845892026315,0.0011993265375294473,0.0
0.026002600260026,2.0,0.0500511936996797,0.0012950587250117026,0.0
0.027002700270027002,2.0,0.05190117784306669,0.0013943017024118658,0.0
0.028002800280028002,2.0,0.053745821113981344,0.0014970379712196643,0.0
0.029002900290029002,2.0,0.05558514621905261,0.0016032500992915308,0.0
0.030003000300030003,2.0,0.0574191757797444,0.0017129207208506083,0.0
0.031003100310031003,2.0,0.05924793233235558,0.0018260325364867424,0.0
0.032003200320032,2.0,0.06107143832801997,0.0019425683131564892,0.0
0.033003300330033,2.0,0.06288971613270633,0.0020625108841831087,0.0
0.034003400340034004,2.0,0.06470278802721838,0.002185843149256572,0.0
0.035003500350035,2.0,0.0665106762071948,0.0023125480744335537,0.0
0.036003600360036005,2.0,0.06831340278310921,0.002442608692137437,0.0
0.037003700370037,2.0,0.07011098978027015,0.0025760081011583095,0.0
0.038003800380038005,2.0,0.07190345913882118,0.002712729466652971,0.0
0.039003900390039,2.0,0.07369083271374077,0.0028527560201449214,0.0
0.040004000400040006,2.0,0.07547313227484234,0.0029960710595243758,0.0
0.041004100410041,2.0,0.07725037950677424,0.0031426579490482476,0.0
0.04200420042004201,2.0,0.07902259600901983,0.0032925001193401643,0.0
0.043004300430043,2.0,0.08078980329589736,0.003445581067390455,0.0
0.04400440044004401,2.0,0.08255202279656008,0.003601884356556161,0.0
0.045004500450045004,2.0,0.08430927585499617,0.0037613936165610262,0.0
0.04600460046004601,2.0,0.08606158373002876,0.003924092543495502,0.0
0.047004700470047005,2.0,0.08780896759531592,0.0040899648998167495,0.0
0.048004800480048,2.0,0.08955144853935065,0.0042589945143486335,0.0
0.049004900490049005,2.0,0.09128904756546105,0.004431165282281731,0.0
0.05000500050005,2.0,0.0930217855918099,0.004606461165173319,0.0
0.051005100510051006,2.0,0.09474968345139523,0.004784866190947387,0.0
0.052005200520052,2.0,0.09647276189204973,0.004966364453894626,0.0
0.05300530053005301,2.0,0.09819104157644135,0.005150940114672442,0.0
0.054005400540054004,2.0,0.0999045430820727,0.005338577400304937,0.0
0.05500550055005501,2.0,0.10161328690128155,0.005529260604182936,0.0
0.056005600560056004,2.0,0.10331729344124044,0.00572297408606395,0.0
0.05700570057005701,2.0,0.10501658302395708,0.005919702272072217,0.0
0.058005800580058005,2.0,0.10671117588627399,0.006119429654698669,0.0
0.05900590059005901,2.0,0.10840109217986857,0.00632214079280095,0.0
0.060006000600060005,2.0,0.11008635197125338,0.006527820311603412,0.0
0.06100610061006101,2.0,0.11176697524177573,0.0067364529026971084,0.0
0.062006200620062006,2.0,0.11344298188761803,0.0069480233240398065,0.0
0.063006300630063,2.0,0.11511439171979754,0.007162516399955974,0.0
0.064006400640064,2.0,0.11678122446416653,0.007379917021136795,0.0
0.06500650065006501,2.0,0.11844349976141216,0.007600210144640148,0.0
0.066006600660066,2.0,0.12010123716705665,0.007823380793890628,0.0
0.067006700670067,2.0,0.12175445615145705,0.008049414058679538,0.0
0.06800680068006801,2.0,0.12340317609980539,0.00827829509516488,0.0
0.06900690069006901,2.0,0.12504741631212876,0.008510009125871363,0.0
0.07000700070007,2.0,0.12668719600328904,0.00874454143969041,0.0
0.071007100710071,2.0,0.1283225343029832,0.008981877391880156,0.0
0.07200720072007201,2.0,0.12995345025574304,0.009222002404065425,0.0
0.07300730073007301,2.0,0.13157996282093537,0.009464901964237764,0.0
0.074007400740074,2.0,0.133202090872762,0.009710561626755411,0.0
0.075007500750075,2.0,0.1348198532002596,0.00995896701234333,0.0
0.07600760076007601,2.0,0.1364332685072998,0.01021010380809318,0.0
0.07700770077007701,2.0,0.1380423554125893,0.01046395776746334,0.0
0.078007800780078,2.0,0.1396471324496696,0.010720514710278862,0.0
0.07900790079007901,2.0,0.1412476180669172,0.010979760522731552,0.0
0.08000800080008001,2.0,0.14284383062754363,0.011241681157379894,0.0
0.081008100810081,2.0,0.14443578840959526,0.01150626263314907,0.0
0.082008200820082,2.0,0.14602350960595348,0.011773491035331006,0.0
0.08300830083008301,2.0,0.1476070123243346,0.012043352515584298,0.0
0.08400840084008401,2.0,0.14918631458728987,0.01231583329193427,0.0
0.085008500850085,2.0,0.1507614343322055,0.01259091964877294,0.0
0.086008600860086,2.0,0.15233238941130275,0.012868597936859046,0.0
0.08700870087008701,2.0,0.15389919759163767,0.013148854573318032,0.0
0.08800880088008801,2.0,0.1554618765551013,0.013431676041642028,0.0
0.089008900890089,2.0,0.15702044389841974,0.013717048891689893,0.0
0.09000900090009001,2.0,0.15857491713315391,0.014004959739687194,0.0
0.09100910091009101,2.0,0.16012531368569982,0.014295395268226195,0.0
0.09200920092009202,2.0,0.16167165089728824,0.014588342226265861,0.0
0.093009300930093,2.0,0.1632139460249488,0.01488378742837965,0.0
0.09400940094009401,2.0,0.16475221954980257,0.015181715172261176,0.0
0.09500950095009501,2.0,0.1662864911241652,0.015482110402501414,0.0
0.096009600960096,2.0,0.1678167769930045,0.015784960723411443,0.0
0.09700970097009701,2.0,0.16934309334828485,0.016090253780563456,0.0
0.09800980098009801,2.0,0.17086545632896688,0.016397977260790737,0.0
0.09900990099009901,2.0,0.17238388202100763,0.01670811889218769,0.0
0.1000100010001,2.0,0.17389838645736047,0.017020666444109815,0.0
0.10101010101010101,2.0,0.17540898561797527,0.017335607727173727,0.0
0.10201020102010201,2.0,0.17691569542979815,0.01765293059325715,0.0
0.10301030103010302,2.0,0.17841853176677167,0.0179726229354989,0.0
0.104010401040104,2.0,0.17991751044983473,0.01829467268829891,0.0
0.10501050105010501,2.0,0.18141264724692266,0.01861906782731822,0.0
0.10601060106010601,2.0,0.18290395787296712,0.018945796369478976,0.0
0.10701070107010702,2.0,0.18439145798989617,0.01927484637296443,0.0
0.10801080108010801,2.0,0.18587516320663422,0.01960620593721893,0.0
0.10901090109010901,2.0,0.18735508907910214,0.019939863202947952,0.0
0.11001100110011001,2.0,0.18883125111021706,0.020275806352118064,0.0
0.11101110111011102,2.0,0.19030366474989255,0.02061402360795694,0.0
0.11201120112011201,2.0,0.1917723453950385,0.02095450323495336,0.0
0.11301130113011301,2.0,0.19323730838956132,0.02129723353885723,0.0
0.11401140114011402,2.0,0.19469856902436367,0.02164220286667953,0.0
0.115011501150115,2.0,0.1961561425373446,0.021989399606692363,0.0
0.11601160116011601,2.0,0.19761004411339952,0.022338812188428956,0.0
0.11701170117011701,2.0,0.19906028888442034,0.02269042908268361,0.0
0.11801180118011802,2.0,0.2005068919292952,0.023044238801511758,0.0
0.11901190119011901,2.0,0.20194986827390865,0.023400229898229923,0.0
0.12001200120012001,2.0,0.20338923289114175,0.023758390967415742,0.0
0.12101210121012101,2.0,0.20482500070087173,0.02411871064490796,0.0
0.12201220122012202,2.0,0.2062571865699723,0.024481177607806423,0.0
0.12301230123012301,2.0,0.2076858053123136,0.024845780574472086,0.0
0.12401240124012401,2.0,0.20911087168876208,0.025212508304527023,0.0
0.125012501250125,2.0,0.21053240040718052,0.02558134959885438,0.0
0.126012601260126,2.0,0.2119504061224282,0.02595229329959846,0.0
0.127012701270127,2.0,0.21336490343636066,0.026325328290164627,0.0
0.128012801280128,2.0,0.21477590689782994,0.026700443495219373,0.0
0.12901290129012902,2.0,0.21618343100268433,0.0270776278806903,0.0
0.13001300130013002,2.0,0.21758749019376855,0.027456870453766095,0.0
0.13101310131013102,2.0,0.2189880988609237,0.02783816026289658,0.0
0.132013201320132,2.0,0.22038527134098726,0.028221486397792653,0.0
0.133013301330133,2.0,0.22177902191779308,0.028606837989426356,0.0
0.134013401340134,2.0,0.22316936482217142,0.0289942042100308,0.0
0.135013501350135,2.0,0.22455631423194888,0.02938357427310024,0.0
0.13601360136013602,2.0,0.22593988427194844,0.029774937433389992,0.0
0.13701370137013702,2.0,0.22732008901398942,0.03016828298691652,0.0
0.13801380138013802,2.0,0.2286969424768876,0.03056360027095737,0.0
0.13901390139013903,2.0,0.2300704586264551,0.030960878664051214,0.0
0.14001400140014,2.0,0.2314406513755003,0.03136010758599779,0.0
0.141014101410141,2.0,0.23280753458382825,0.031761276497857996,0.0
0.142014201420142,2.0,0.2341711220582401,0.03216437490195383,0.0
0.14301430143014301,2.0,0.23553142755253342,0.03256939234186833,0.0
0.14401440144014402,2.0,0.2368884647675023,0.03297631840244573,0.0
0.14501450145014502,2.0,0.2382422473509371,0.033385142709791316,0.0
0.14601460146014603,2.0,0.23959278889762453,0.033795854931271484,0.0
0.147014701470147,2.0,0.2409401029493477,0.034208444775513755,0.0
0.148014801480148,2.0,0.24228420299488618,0.03462290199240675,0.0
0.149014901490149,2.0,0.24362510247001587,0.0350392163731002,0.0
0.15001500150015,2.0,0.24496281475750897,0.03545737775000493,0.0
0.15101510151015102,2.0,0.24629735318713414,0.03587737599679288,0.0
0.15201520152015202,2.0,0.24762873103565636,0.03629920102839709,0.0
0.15301530153015303,2.0,0.24895696152683705,0.036722842801011735,0.0
0.15401540154015403,2.0,0.25028205783143403,0.03714829131209205,0.0
0.155015501550155,2.0,0.25160403306720136,0.03757553660035439,0.0
0.156015601560156,2.0,0.2529229002988896,0.03800456874577626,0.0
0.157015701570157,2.0,0.2542386725382456,0.03843537786959622,0.0
0.15801580158015802,2.0,0.2555513627440127,0.03886795413431396,0.0
0.15901590159015902,2.0,0.25686098382193057,0.03930228774369026,0.0
0.16001600160016002,2.0,0.2581675486247352,0.03973836894274703,0.0
0.16101610161016103,2.0,0.25947106995215896,0.040176188017767275,0.0
0.162016201620162,2.0,0.2607715605509306,0.040615735296295086,0.0
0.163016301630163,2.0,0.2620690331147754,0.0410570011471357,0.0
0.164016401640164,2.0,0.26336350028441485,0.041499975980355444,0.0
0.16501650165016502,2.0,0.2646549746475669,0.04194465024728174,0.0
0.16601660166016602,2.0,0.2659434687389457,0.042391014440503125,0.0
0.16701670167016702,2.0,0.2672289950402621,0.042839059093869244,0.0
0.16801680168016803,2.0,0.26851156598022297,0.043288774782490845,0.0
0.16901690169016903,2.0,0.2697911939345319,0.043740152122739795,0.0
0.17001700170017,2.0,0.27106789122588854,0.04419318177224903,0.0
0.171017101710171,2.0,0.27234167012398913,0.04464785442991265,0.0
0.172017201720172,2.0,0.2736125428455262,0.045104160835885816,0.0
0.17301730173017302,2.0,0.2748805215541888,0.04556209177158482,0.0
0.17401740174017402,2.0,0.2761456183606621,0.04602163805968705,0.0
0.17501750175017503,2.0,0.27740784532262774,0.04648279056413099,0.0
0.17601760176017603,2.0,0.27866721444476394,0.046945540190116264,0.0
0.177017701770177,2.0,0.27992373767874495,0.04740987788410354,0.0
0.178017801780178,2.0,0.28117742692324177,0.04787579463381468,0.0
0.179017901790179,2.0,0.2824282940239215,0.0483432814682326,0.0
0.18001800180018002,2.0,0.28367635077344766,0.0488123294576013,0.0
0.18101810181018102,2.0,0.2849216089114803,0.04928292971342594,0.0
0.18201820182018202,2.0,0.2861640801246756,0.04975507338847275,0.0
0.18301830183018303,2.0,0.28740377604668643,0.05022875167676908,0.0
0.18401840184018403,2.0,0.28864070825816174,0.05070395581360338,0.0
0.185018501850185,2.0,0.28987488828674696,0.051180677075525226,0.0
0.186018601860186,2.0,0.29110632760708405,0.05165890678034528,0.0
0.18701870187018702,2.0,0.29233503764081115,0.05213863628713531,0.0
0.18801880188018802,2.0,0.29356102975656273,0.05261985699622821,0.0
0.18901890189018902,2.0,0.29478431526996995,0.05310256034921795,0.0
0.19001900190019003,2.0,0.29600490544366004,0.05358673782895963,0.0
0.19101910191019103,2.0,0.29722281148725666,0.05407238095956946,0.0
0.192019201920192,2.0,0.29843804455738,0.05455948130642474,0.0
0.193019301930193,2.0,0.2996506157576464,0.055048030476163884,0.0
0.19401940194019401,2.0,0.30086053613866887,0.05553802011668642,0.0
0.19501950195019502,2.0,0.3020678166980565,0.05602944191715296,0.0
0.19601960196019602,2.0,0.30327246838041494,0.05652228760798524,0.0
0.19701970197019703,2.0,0.30447450207734617,0.057016548960866116,0.0
0.19801980198019803,2.0,0.3056273756410724,0.05751189252861875,0.0
0.19901990199019903,2.0,0.3066218385812302,0.0580074433348656,0.0
0.2000200020002,0.0,0.3074607574409113,0.058503016153666626,0.0
0.201020102010201,0.0,0.30815202490356935,0.0589984639774267,0.0
0.20202020202020202,0.0,0.3087033527019275,0.05949364375543909,0.0
0.20302030203020302,0.0,0.30912227161797795,0.05998841639388551,0.0
0.20402040204020402,0.0,0.30941613148298236,0.06048264675583611,0.0
0.20502050205020503,0.0,0.30959210117747155,0.060976203661249465,0.0
0.20602060206020603,0.0,0.30965716863124565,0.06146895988697261,0.0
0.20702070207020704,0.0,0.3096181408233741,0.06196079216674099,0.0
0.208020802080208,0.0,0.3094816437821955,0.062451581191178496,0.0
0.20902090209020902,0.0,0.3092541225853179,0.06294121160779748,0.0
0.21002100210021002,0.0,0.30894184135961855,0.06342957202099868,0.0
0.21102110211021102,0.0,0.30855088328124397,0.0639165549920713,0.0
0.21202120212021203,0.0,0.30808715057560987,0.064402057039193,0.0
0.21302130213021303,0.0,0.30755636451740137,0.06488597863742983,0.0
0.21402140214021403,0.0,0.30696406543057286,0.0653682242187363,0.0
0.215021502150215,0.0,0.3063156126883479,0.06584870217195533,0.0
0.21602160216021601,0.0,0.30561618471321944,0.06632732484281835,0.0
0.21702170217021702,0.0,0.3048707789769496,0.06680400853394515,0.0
0.21802180218021802,0.0,0.30408421200056984,0.06727867350484397,0.0
0.21902190219021903,0.0,0.30326111935438094,0.06775124397191151,0.0
0.22002200220022003,0.0,0.30240595565795286,0.06822164810843288,0.0
0.22102210221022103,0.0,0.30152299458012494,0.06868981804458166,0.0
0.22202220222022204,0.0,0.3006163288390057,0.06915568986741982,0.0
0.223022302230223,0.0,0.29968987020197296,0.06961920362089778,0.0
0.22402240224022402,0.0,0.29874734948567383,0.07008030330585445,0.0
0.22502250225022502,0.0,0.2977923165560247,0.07053893688001708,0.0
0.22602260226022602,0.0,0.29682814032821137,0.07099505625800145,0.0
0.22702270227022703,0.0,0.29585800876668855,0.07144861731131172,0.0
0.22802280228022803,0.0,0.29488492888518064,0.07189957986834049,0.0
0.22902290229022904,0.0,0.29391172674668103,0.0723479077143688,0.0
0.23002300230023,0.0,0.2929410474634526,0.07279356859156612,0.0
0.23102310231023102,0.0,0.2919753551970273,0.0732365341989904,0.0
0.23202320232023202,0.0,0.2910169331582065,0.07367678019258797,0.0
0.23302330233023302,0.0,0.29006788360706076,0.07411428618519363,0.0
0.23402340234023403,0.0,0.28913012785292996,0.07454903574653059,0.0
0.23502350235023503,0.0,0.2882054062544233,0.0749810164032105,0.0
0.23602360236023603,0.0,0.28729527821941925,0.07541021963873348,0.0
0.23702370237023704,0.0,0.2864011222050654,0.07583664089348804,0.0
0.23802380238023801,0.0,0.28552413571777885,0.07626027956475115,0.0
0.23902390239023902,0.0,0.2846653353132458,0.07668113900668823,0.0
0.24002400240024002,0.0,0.2838255565964217,0.07709922653035309,0.0
0.24102410241024103,0.0,0.28300545422153156,0.07751455340368803,0.0
0.24202420242024203,0.0,0.28220550189206933,0.07792713485152374,0.0
0.24302430243024303,0.0,0.28142599236079846,0.07833699005557937,0.0
0.24402440244024404,0.0,0.2806670374297515,0.07874414215446249,0.0
0.245024502450245,0.0,0.27992856795023047,0.07914861824366914,0.0
0.24602460246024602,0.0,0.27921033382280647,0.07955044937558377,0.0
0.24702470247024702,0.0,0.27851190399732006,0.07994967055947924,0.0
0.24802480248024802,0.0,0.2778326664728809,0.08034632076151692,0.0
0.24902490249024903,0.0,0.27717182829786813,0.08074044290474652,0.0
0.25002500250025,0.0,0.27652841556993,0.08113208386910625,0.0
0.251025102510251,0.0,0.275901273435984,0.08152129449142277,0.0
0.252025202520252,0.0,0.27528906609221715,0.08190812956541113,0.0
0.253025302530253,0.0,0.2746902767840854,0.08229264784167482,0.0
0.254025402540254,0.0,0.2741032078063143,0.0826749120277058,0.0
0.255025502550255,0.0,0.2735259805028985,0.08305498878788442,0.0
0.256025602560256,0.0,0.27295653526710206,0.08343294874347951,0.0
0.25702570257025703,0.0,0.272392631541458,0.08380886647264832,0.0
0.25802580258025803,0.0,0.27183184781776903,0.0841828205104365,0.0
0.25902590259025904,0.0,0.27127158163710674,0.08455489334877819,0.0
0.26002600260026004,0.0,0.27070904958981246,0.08492517143649596,0.0
0.26102610261026105,0.0,0.27014128731549636,0.08529374517930077,0.0
0.26202620262026205,0.0,0.2695651495030381,0.08566070893979205,0.0
0.26302630263026305,0.0,0.2689773098905865,0.08602616103745768,0.0
0.264026402640264,0.0,0.2683742612655601,0.08639020374867391,0.0
0.265026502650265,0.0,0.2677524770212493,0.08675293826768292,0.0
0.266026602660266,0.0,0.2671239666390527,0.08711398373017123,0.0
0.267026702670267,0.0,0.2664980571231678,0.08747305534891092,0.0
0.268026802680268,0.0,0.2658747369000631,0.08783016213532166,0.0
0.269026902690269,0.0,0.2652539944402087,0.0881853130664785,0.0
0.27002700270027,0.0,0.2646358182580763,0.0885385170851118,0.0
0.27102710271027103,0.0,0.26402019691213924,0.08888978309960728,0.0
0.27202720272027203,0.0,0.2634071190048725,0.08923911998400598,0.0
0.27302730273027304,0.0,0.2627965731827525,0.08958653657800428,0.0
0.27402740274027404,0.0,0.2621885481362574,0.0899320416869539,0.0
0.27502750275027504,0.0,0.2615830325998669,0.09027564408186191,0.0
0.27602760276027605,0.0,0.26098001535206244,0.0906173524993907,0.0
0.27702770277027705,0.0,0.2603794852153269,0.090957175641858,0.0
0.27802780278027805,0.0,0.25978143105614476,0.09129512217723691,0.0
0.279027902790279,0.0,0.2591858417850022,0.0916312007391558,0.0
0.28002800280028,0.0,0.258592706356387,0.09196541992689845,0.0
0.281028102810281,0.0,0.2580020137687884,0.09229778830540396,0.0
0.282028202820282,0.0,0.2574137530646975,0.09262831440526674,0.0
0.283028302830283,0.0,0.2568279133306067,0.09295700672273655,0.0
0.284028402840284,0.0,0.25624448369701025,0.09328387371971848,0.0
0.285028502850285,0.0,0.2556634533384039,0.09360892382377299,0.0
0.28602860286028603,0.0,0.255084811473285,0.09393216542811586,0.0
0.28702870287028703,0.0,0.25450854736415246,0.09425360689161819,0.0
0.28802880288028804,0.0,0.2539346503175069,0.09457325653880644,0.0
0.28902890289028904,0.0,0.2533631096838505,0.09489112265986241,0.0
0.29002900290029004,0.0,0.25279391485768704,0.09520721351062322,0.0
0.29102910291029105,0.0,0.25222705527752187,0.09552153731258134,0.0
0.29202920292029205,0.0,0.25166252042586196,0.09583410225288458,0.0
0.29302930293029306,0.0,0.2511002998292159,0.09614491648433607,0.0
0.294029402940294,0.0,0.2505403830580939,0.09645398812539428,0.0
0.295029502950295,0.0,0.2499827597270077,0.09676132526017309,0.0
