t,dose,q_c,q_p
0.0,1.0,0.0,0.0
0.001000100010001,1.0,0.0009991006430127784,4.99600198263489e-07
0.002000200020002,1.0,0.001996205880072508,1.9964040756628055e-06
0.003000300030003,1.0,0.0029913206932454103,4.487422691281627e-06
0.004000400040004,1.0,0.003984450051355483,7.96967525380538e-06
0.005000500050005001,1.0,0.004975598910462857,1.2440188826058511e-05
0.006000600060006,1.0,0.0059647722138668905,1.7895998323098787e-05
0.0070007000700070005,1.0,0.006951974892106159,2.433414651221731e-05
0.008000800080008,1.0,0.007937211862958466,3.175168401293849e-05
0.009000900090009001,1.0,0.00892048803144083,4.014566929702007e-05
0.010001000100010001,1.0,0.009901808289809497,4.951316868845312e-05
0.011001100110011002,1.0,0.010881177517559936,5.985125636346199e-05
0.012001200120012,1.0,0.01185860061707874,7.11569923294239e-05
0.013001300130013,1.0,0.012834082485639024,8.342743972239555e-05
0.014001400140014001,1.0,0.013807627951752808,9.665970412024477e-05
0.015001500150015001,1.0,0.014779241831923202,0.00011085089848871031
0.016001600160016,1.0,0.015748928931097552,0.0001259981429014943
0.017001700170017002,1.0,0.016716694042667443,0.0001420985645402623
0.018001800180018002,1.0,0.017682541948468702,0.00015914929769464335
0.019001900190019003,1.0,0.018646477418781403,0.00017714748376222982
0.020002000200020003,1.0,0.019608505212329846,0.0001960902712485775
0.021002100210021003,1.0,0.020568630076282585,0.00021597481576720565
0.022002200220022004,1.0,0.021526856746252404,0.00023679828003959693
0.023002300230023004,1.0,0.02248318994629634,0.00025855783389519733
0.024002400240024,1.0,0.023437634388915645,0.0002812506542714163
0.025002500250025,1.0,0.024390194775055843,0.0003048739252136268
0.026002600260026,1.0,0.025340875794106685,0.0003294248378751652
0.027002700270027002,1.0,0.026289682123902144,0.00035490059051733106
0.028002800280028002,1.0,0.027236618430720467,0.00038129838850938766
0.029002900290029002,1.0,0.028181689369284117,0.0004086154443285614
0.030003000300030003,1.0,0.029124899582759798,0.00043684897756004234
0.031003100310031003,1.0,0.03006625370275847,0.00046599621489698377
0.032003200320032,1.0,0.03100575634933532,0.0004960543901405025
0.033003300330033,1.0,0.03194341213098978,0.0005270207441996789
0.034003400340034004,1.0,0.03287922564466551,0.0005588925250915564
0.035003500350035,1.0,0.03381320147575044,0.0005916669879411419
0.036003600360036005,1.0,0.03474534419807672,0.000625341394981406
0.037003700370037,1.0,0.03567565837392072,0.0006599130155532828
0.038003800380038005,1.0,0.03660414855400308,0.0006953791261056691
0.039003900390039,1.0,0.03753081927748869,0.0007317370101954259
0.040004000400040006,1.0,0.03845567507198665,0.0007689839584873775
0.041004100410041,1.0,0.0393787204535503,0.0008071172687543104
0.04200420042004201,1.0,0.04029995992667726,0.0008461342458769771
0.043004300430043,1.0,0.04121939798430933,0.0008860322018440905
0.04400440044004401,1.0,0.04213703910783262,0.0009268084557523293
0.045004500450045004,1.0,0.0430528877670774,0.0009684603338063342
0.04600460046004601,1.0,0.04396694842031826,0.00101098516931871
0.047004700470047005,1.0,0.04487922551427398,0.0010543803027100247
0.048004800480048,1.0,0.04578972348410759,0.0010986430815088093
0.049004900490049005,1.0,0.04669844675342637,0.0011437708603515592
0.05000500050005,1.0,0.047605399734281836,0.0011897610009827325
0.051005100510051006,1.0,0.048510586827169744,0.0012366108722547506
0.052005200520052,1.0,0.04941401242103008,0.0012843178501279991
0.05300530053005301,1.0,0.050315680893247075,0.0013328793176708253
0.054005400540054004,1.0,0.05121559660964922,0.0013822926650595426
0.05500550055005501,1.0,0.05211376392450923,0.001432555289578426
0.056005600560056004,1.0,0.05301018718054404,0.0014836645956197135
0.05700570057005701,1.0,0.053904870708914865,0.0015356179946836074
0.058005800580058005,1.0,0.05479781882922713,0.0015884129053782734
0.05900590059005901,1.0,0.05568903584953051,0.0016420467534198411
0.060006000600060005,1.0,0.056578526066318954,0.001696516971632402
0.06100610061006101,1.0,0.05746629376453058,0.0017518209999480125
0.062006200620062006,1.0,0.05835234321754777,0.001807956285406691
0.063006300630063,1.0,0.05923667868719722,0.0018649202821564208
0.064006400640064,1.0,0.060119304423352865,0.0019227104516984627
0.06500650065006501,1.0,0.06100022465636514,0.0019813242675673355
0.066006600660066,1.0,0.06187944361015838,0.0020407592072351835
0.067006700670067,1.0,0.06275696550129514,0.002101012752690308
0.06800680068006801,1.0,0.06363279453576655,0.002162082392421042
0.06900690069006901,1.0,0.06450693490899241,0.0022239656214157527
0.07000700070007,1.0,0.06537939080582113,0.0022866599411628403
0.071007100710071,1.0,0.06625016640052976,0.00235016285965074
0.07200720072007201,1.0,0.06711926585682398,0.00241447189136792
0.07300730073007301,1.0,0.06798669332783809,0.0024795845573028817
0.074007400740074,1.0,0.068852452956135,0.0025454983849441597
0.075007500750075,1.0,0.06971654887370629,0.002612210908280325
0.07600760076007601,1.0,0.07057898520197214,0.0026797196677999786
0.07700770077007701,1.0,0.07143976605178137,0.002748022210491758
0.078007800780078,1.0,0.07229889552341141,0.0028171160898443313
0.07900790079007901,1.0,0.07315637770656837,0.0028869988658464037
0.08000800080008001,1.0,0.07401221668038692,0.0029576681049867126
0.081008100810081,1.0,0.0748664165134304,0.003029121380254027
0.082008200820082,1.0,0.07571898126369077,0.003101356271137154
0.08300830083008301,1.0,0.07656991497858863,0.0031743703636249307
0.08400840084008401,1.0,0.07741922169497319,0.003248161250206228
0.085008500850085,1.0,0.07826690543912228,0.0033227265298699515
0.086008600860086,1.0,0.07911297022674241,0.003398063808105042
0.08700870087008701,1.0,0.07995742006296865,0.0034741706969004713
0.08800880088008801,1.0,0.08080025894236474,0.0035510448147452454
0.089008900890089,1.0,0.08165351054731307,0.003628714260414297
0.09000900090009001,1.0,0.08257222554430671,0.003707330602632574
0.09100910091009101,1.0,0.08353923251505815,0.0037868793533471596
0.09200920092009202,1.0,0.08452841961497978,0.0038673165209778034
0.093009300930093,1.0,0.08551613463016097,0.003948595920976522
0.09400940094009401,1.0,0.08648118497736801,0.004030669175827602
0.09500950095009501,1.0,0.08740483770404411,0.004113485715047598
0.096009600960096,1.0,0.08827081948830948,0.004196992775185328
0.09700970097009701,1.0,0.08906531663896121,0.004281135399821886
0.09800980098009801,1.0,0.08977697509547337,0.004365856439570627
0.09900990099009901,1.0,0.09039690042799697,0.004451096552077177
0.1000100010001,0.0,0.09091865783735993,0.0045367942020194275
0.10101010101010101,0.0,0.09133827215506715,0.004622885661107543
0.10201020102010201,0.0,0.09165422784330045,0.0047093050080839515
0.10301030103010302,0.0,0.0918674689949186,0.004795984128723351
0.104010401040104,0.0,0.09198139933345728,0.004882852715832706
0.10501050105010501,0.0,0.09200188221312919,0.0049698382692512505
0.10601060106010601,0.0,0.09193724061882387,0.005056866095850486
0.10701070107010702,0.0,0.09179825716610789,0.005143859309534182
0.10801080108010801,0.0,0.0915981741012247,0.005230738831238374
0.10901090109010901,0.0,0.09135269330109473,0.00531742338893137
0.11001100110011001,0.0,0.09107997627331534,0.005403829517613742
0.11101110111011102,0.0,0.09080064415616082,0.005489871559318332
0.11201120112011201,0.0,0.0905377777185824,0.005575461663110248
0.11301130113011301,0.0,0.09031691736020828,0.005660509785086868
0.11401140114011402,0.0,0.09014041444451877,0.005745052326132622
0.115011501150115,0.0,0.0899660777997341,0.005829326753840727
0.11601160116011601,0.0,0.08979217358310457,0.005913342890767615
0.11701170117011701,0.0,0.0896187006733391,0.005997101426485479
0.11801180118011802,0.0,0.08944565795198074,0.006080603048816243
0.11901190119011901,0.0,0.08927304430340662,0.006163848443831561
0.12001200120012001,0.0,0.08910085861482796,0.00624683829585282
0.12101210121012101,0.0,0.08892909977629013,0.006329573287451134
