t,dose,q_e,q_c,q_p
0.0,2.0,0.0,0.0,0.0
0.001000100010001,2.0,0.001999200153322,9.992003965269786e-07,3.3310008686532437e-10
0.002000200020002,2.0,0.003996401906028217,3.992808151325618e-06,2.662268125133222e-09
0.003000300030003,2.0,0.005991607255721833,8.974845382563273e-06,8.976151551003742e-09
0.004000400040004,2.0,0.00798481819799151,1.5939350507610794e-05,2.1255227064006707e-08
0.005000500050005001,2.0,0.009976036726439312,2.4880377652117056e-05,4.147213851557994e-08
0.006000600060006,2.0,0.011965264832680882,3.57919966461976e-05,7.15916990886281e-08
0.0070007000700070005,2.0,0.013952504506345453,4.866829302443463e-05,1.135708912975227e-07
0.008000800080008,2.0,0.01593775773507581,6.350336802587695e-05,1.6935886698810194e-07
0.009000900090009001,2.0,0.017921026504528346,8.029133859404005e-05,2.40896947337671e-07
0.010001000100010001,2.0,0.019902312798373026,9.902633737690607e-05,3.301186228550018e-07
0.011001100110011002,2.0,0.021881618598293386,0.00011970251272692377,4.3894955338033295e-07
0.012001200120012,2.0,0.02385894589857378,0.00014231369192873095,5.695014170388816e-07
0.013001300130013,2.0,0.025834296696233085,0.000166853607382761,7.239417842123432e-07
0.014001400140014001,2.0,0.027807672964182517,0.0001933165170303376,9.041369650976193e-07
0.015001500150015001,2.0,0.02977907667329568,0.00022169669595033763,1.111944603773267e-06
0.016001600160016,2.0,0.03174850979258938,0.0002519884321893293,1.3492160782166664e-06
0.017001700170017002,2.0,0.03371597428922359,0.00028418602676157204,1.6177965003040192e-06
0.018001800180018002,2.0,0.03568147212850151,0.0003182837936490167,1.9195247158103496e-06
0.019001900190019003,2.0,0.03764500527386948,0.0003542760598013054,2.256233304409504e-06
0.020002000200020003,2.0,0.03960657568691707,0.00039215716513577156,2.629748579674151e-06
0.021002100210021003,2.0,0.04156618532737705,0.00043192146253743987,3.0418905890757808e-06
0.022002200220022004,2.0,0.04352383615312533,0.00047356331785902635,3.4944731139847067e-06
0.023002300230023004,2.0,0.04547953012018106,0.0005170771099209382,3.989303669670063e-06
0.024002400240024,2.0,0.04743326918270655,0.0005624572305112744,4.528183505299808e-06
0.025002500250025,2.0,0.049385055293007324,0.0006096980843858245,5.11290760394072e-06
0.026002600260026,2.0,0.05133489040153211,0.0006587940892680701,5.745264682558403e-06
0.027002700270027002,2.0,0.05328277645687275,0.0007097396758491833,6.4270371920172785e-06
0.028002800280028002,2.0,0.05522871540576438,0.0007625292877880287,7.160001317080598e-06
0.029002900290029002,2.0,0.057172709193085244,0.0008171573817111607,7.945926976410419e-06
0.030003000300030003,2.0,0.05911475976185683,0.0008736184272128263,8.786577822567644e-06
0.031003100310031003,2.0,0.06105486905324378,0.0009319069068549625,9.683711242011974e-06
0.032003200320032,2.0,0.06299303900655397,0.0009920173161671994,1.0639078355101956e-05
0.033003300330033,2.0,0.06492927155923842,0.0010539441636468565,1.1654424016094938e-05
0.034003400340034004,2.0,0.06686356864689137,0.001117681970758946,1.2731486813147106e-05
0.035003500350035,2.0,0.06879593220325021,0.0011832252719361706,1.3871999068313449e-05
0.036003600360036005,2.0,0.0707263641601956,0.0012505686145789252,1.5077686837547808e-05
0.037003700370037,2.0,0.07265486644775133,0.0013197065590552942,1.635026991070281e-05
0.038003800380038005,2.0,0.07458144099408441,0.0013906336787010557,1.7691461811529946e-05
0.039003900390039,2.0,0.07650608972550497,0.001463344559819677,1.9102969797679477e-05
0.040004000400040006,2.0,0.07842881456646646,0.0015378338016823186,2.0586494860700546e-05
0.041004100410041,2.0,0.08034961743956538,0.0016140960165278299,2.2143731726041065e-05
0.04200420042004201,2.0,0.08226850026554154,0.0016921258295627547,2.3776368853047807e-05
0.043004300430043,2.0,0.08418546496327788,0.0017719178789613254,2.5486088434966333e-05
0.04400440044004401,2.0,0.08610051344980052,0.0018534668158654668,2.7274566398941068e-05
0.045004500450045004,2.0,0.0880136476402788,0.001936767304384795,2.914347240601521e-05
0.04600460046004601,2.0,0.08992486944802523,0.0020218140215966175,3.1094469851130825e-05
