t,dose,q_c,q_p
0.0,2.0,0.0,0.0
0.001000100010001,2.0,0.00199820128602556,9.992003965269793e-07
0.002000200020002,2.0,0.003992411760145016,3.992808151325613e-06
0.003000300030003,2.0,0.005982641386490821,8.974845382563256e-06
0.004000400040004,2.0,0.007968900102710962,1.5939350507610764e-05
0.005000500050005001,2.0,0.009951197820925711,2.488037765211703e-05
0.006000600060006,2.0,0.011929544427733774,3.579199664619759e-05
0.0070007000700070005,2.0,0.013903949784212308,4.8668293024434634e-05
0.008000800080008,2.0,0.015874423725916915,6.3503368025877e-05
0.009000900090009001,2.0,0.017840976062881635,8.029133859404017e-05
0.010001000100010001,2.0,0.01980361657961896,9.902633737690623e-05
0.011001100110011002,2.0,0.021762355035119828,0.00011970251272692397
0.012001200120012,2.0,0.023717201708062085,0.00014231369192873098
0.013001300130013,2.0,0.02566816703063453,0.000166853607382761
0.014001400140014001,2.0,0.02761526058411727,0.00019331651703033761
0.015001500150015001,2.0,0.029558491921949114,0.00022169669595033757
0.016001600160016,2.0,0.031497870576478265,0.0002519884321893292
0.017001700170017002,2.0,0.03343340605896232,0.00028418602676157204
0.018001800180018002,2.0,0.03536510785956829,0.0003182837936490167
0.019001900190019003,2.0,0.03729298544737257,0.0003542760598013054
0.020002000200020003,2.0,0.039217048270360974,0.00039215716513577145
0.021002100210021003,2.0,0.04113730575542868,0.0004319214625374398
0.022002200220022004,2.0,0.04305376730838028,0.0004735633178590263
0.023002300230023004,2.0,0.04496644231392978,0.0005170771099209382
0.024002400240024,2.0,0.04687534013570058,0.0005624572305112742
0.025002500250025,2.0,0.04878047011622544,0.0006096980843858244
0.026002600260026,2.0,0.05068184157694658,0.0006587940892680699
0.027002700270027002,2.0,0.05257946381821557,0.0007097396758491833
0.028002800280028002,2.0,0.05447334611929343,0.0007625292877880285
0.029002900290029002,2.0,0.05636349773835049,0.0008171573817111604
0.030003000300030003,2.0,0.058249927912466574,0.000873618427212826
0.031003100310031003,2.0,0.06013264585763083,0.0009319069068549621
0.032003200320032,2.0,0.062011660768741865,0.000992017316167199
0.033003300330033,2.0,0.06388698181960764,0.0010539441636468558
0.034003400340034004,2.0,0.06575861816294556,0.0011176819707589458
0.035003500350035,2.0,0.06762657893038235,0.0011832252719361702
0.036003600360036005,2.0,0.06949087323245423,0.0012505686145789247
0.037003700370037,2.0,0.07135151015860675,0.001319706559055294
0.038003800380038005,2.0,0.07320849877719487,0.0013906336787010553
0.039003900390039,2.0,0.07506184813548297,0.0014633445598196762
0.040004000400040006,2.0,0.07691156725964482,0.0015378338016823177
0.041004100410041,2.0,0.0787576651547636,0.0016140960165278294
0.04200420042004201,2.0,0.08060015080483182,0.0016921258295627543
0.043004300430043,2.0,0.0824390331727515,0.0017719178789613245
0.04400440044004401,2.0,0.08427432120033398,0.0018534668158654661
0.045004500450045004,2.0,0.0861060238083,0.0019367673043847943
0.04600460046004601,2.0,0.08793414989627975,0.002021814021596617
0.047004700470047005,2.0,0.08975870834281272,0.0021086016575459316
0.048004800480048,2.0,0.09157970800534794,0.0021971249152454293
0.049004900490049005,2.0,0.09339715772024375,0.0022873785106754915
0.05000500050005,2.0,0.09521106630276786,0.0023793571727841905
0.051005100510051006,2.0,0.09702144254709746,0.00247305564348729
0.052005200520052,2.0,0.09882829522631906,0.0025684686776682444
0.05300530053005301,2.0,0.10063163309242865,0.002665591043178202
0.054005400540054004,2.0,0.10243146487633151,0.0027644175208359984
0.05500550055005501,2.0,0.10422779928784245,0.002864942904428164
0.056005600560056004,2.0,0.10602064501568556,0.0029671620007089192
0.05700570057005701,2.0,0.10781001072749444,0.003071069629400176
0.058005800580058005,2.0,0.10959590506981194,0.003176660623191536
0.05900590059005901,2.0,0.11137833666809047,0.0032839298277402952
0.060006000600060005,2.0,0.11315731412669174,0.0033928721016714377
0.06100610061006101,2.0,0.11493284602888686,0.0035034823165776417
0.062006200620062006,2.0,0.11670494093685639,0.003615755357019273
0.063006300630063,2.0,0.11847360739169024,0.0037296861205243937
0.064006400640064,2.0,0.12023885391338776,0.0038452695175887554
0.06500650065006501,2.0,0.1220006890008577,0.003962500471675798
0.066006600660066,2.0,0.12375912113191809,0.004081373919216654
0.067006700670067,2.0,0.12551415876329658,0.004201884809610152
0.06800680068006801,2.0,0.12726581033063,0.004324028105222806
0.06900690069006901,2.0,0.1290140842484647,0.004447798781388822
0.07000700070007,2.0,0.13075898891025634,0.0045731918264101
0.071007100710071,2.0,0.13250053268837017,0.004700202241556229
0.07200720072007201,2.0,0.13423872393408057,0.004828825041064493
0.07300730073007301,2.0,0.13597357097757157,0.004959055252139862
0.074007400740074,2.0,0.13770508212793633,0.0050908879149549995
0.075007500750075,2.0,0.1394332656731777,0.005224318082650262
0.07600760076007601,2.0,0.14115812988020776,0.005359340821333697
0.07700770077007701,2.0,0.14287968299484793,0.00549595121008104
0.078007800780078,2.0,0.1445979332418292,0.005634144340935719
0.07900790079007901,2.0,0.14631288882479188,0.005773915318908859
0.08000800080008001,2.0,0.14802455792628566,0.005915259261979269
0.081008100810081,2.0,0.1497329487077696,0.006058171301093451
0.082008200820082,2.0,0.15143806930961226,0.006202646580165602
0.08300830083008301,2.0,0.15313992785109148,0.006348680256077606
0.08400840084008401,2.0,0.1548385324303946,0.006496267498679039
0.085008500850085,2.0,0.15653389112461827,0.00664540349078717
0.086008600860086,2.0,0.15822601198976863,0.00679608342818696
0.08700870087008701,2.0,0.15991490306076112,0.00694830251963106
0.08800880088008801,2.0,0.16160057235142064,0.007102055986839811
0.089008900890089,2.0,0.16328302785448154,0.007257339064501243
0.09000900090009001,2.0,0.16496227754158743,0.007414147000271084
0.09100910091009101,2.0,0.16663832936329148,0.007572475054772753
0.09200920092009202,2.0,0.16831119124905605,0.007732318501597353
0.093009300930093,2.0,0.1699808711072531,0.00789367262730368
0.09400940094009401,2.0,0.17164737682516393,0.008056532731418235
0.09500950095009501,2.0,0.1733107162689792,0.00822089412643519
0.096009600960096,2.0,0.17497089728379894,0.008386752137816417
0.09700970097009701,2.0,0.1766279276936327,0.008554102103991486
0.09800980098009801,2.0,0.17828181530139928,0.008722939376357649
0.09900990099009901,2.0,0.17993256788892695,0.008893259319279853
0.1000100010001,2.0,0.18158019321695346,0.009065057310090734
0.10101010101010101,2.0,0.1832246990251258,0.009238328739090623
0.10201020102010201,2.0,0.18486609303200052,0.00941306900954754
0.10301030103010302,2.0,0.1865043829350434,0.009589273537697196
0.104010401040104,2.0,0.1881395764106297,0.009766937752742995
0.10501050105010501,2.0,0.18977168111404416,0.00994605709685603
0.10601060106010601,2.0,0.19140070467948084,0.01012662702517509
0.10701070107010702,2.0,0.19302665472004313,0.01030864300580665
0.10801080108010801,2.0,0.19464953882774383,0.010492100519824873
0.10901090109010901,2.0,0.19626936457350538,0.010676995061271627
0.11001100110011001,2.0,0.1978861395071593,0.010863322137156458
0.11101110111011102,2.0,0.1994998711574467,0.01105107726745661
0.11201120112011201,2.0,0.20111056690581103,0.011240256063134913
0.11301130113011301,2.0,0.20271823404664124,0.011430854188896323
0.11401140114011402,2.0,0.2043228800212064,0.011622867218577446
0.115011501150115,2.0,0.20592451225431835,0.011816290736120753
0.11601160116011601,2.0,0.20752313815316625,0.01201112033629503
0.11701170117011701,2.0,0.20911876510731647,0.012207351624695379
0.11801180118011802,2.0,0.2107114004887126,0.012404980217743214
0.11901190119011901,2.0,0.21230105165167537,0.012604001742686263
0.12001200120012001,2.0,0.21388772593290292,0.012804411837598584
0.12101210121012101,2.0,0.2154714306514705,0.01300620615138053
0.12201220122012202,2.0,0.21705217310883057,0.013209380343758789
0.12301230123012301,2.0,0.21862996058881287,0.013413930085286341
0.12401240124012401,2.0,0.2202048003576244,0.013619851057342511
0.125012501250125,2.0,0.22177669966384927,0.013827138952132915
0.126012601260126,2.0,0.223345665738449,0.014035789472689499
0.127012701270127,2.0,0.2249117057947622,0.014245798332870518
0.128012801280128,2.0,0.2264748270285047,0.014457161257360542
0.12901290129012902,2.0,0.22803503661776964,0.014669873981670464
0.13001300130013002,2.0,0.22959234172302737,0.01488393225213748
0.13101310131013102,2.0,0.2311467494871254,0.015099331825925112
0.132013201320132,2.0,0.23269826703528854,0.015316068471023191
0.133013301330133,2.0,0.23424690147511887,0.015534137966247873
0.134013401340134,2.0,0.2357926598965956,0.015753536101241625
0.135013501350135,2.0,0.2373355493720752,0.015974258676473223
0.13601360136013602,2.0,0.2388755769562914,0.016196301503237767
0.13701370137013702,2.0,0.24041274968635512,0.016419660403656666
0.13801380138013802,2.0,0.24194707458175455,0.016644331210677647
0.13901390139013903,2.0,0.24347855864435508,0.016870309768074757
0.14001400140014,2.0,0.24500720885839927,0.01709759193044835
0.141014101410141,2.0,0.2465330321905071,0.01732617356322511
0.142014201420142,2.0,0.2480560355896756,0.017556050542658016
0.14301430143014301,2.0,0.24957622598727905,0.01778721875582638
0.14401440144014402,2.0,0.25109361029706906,0.018019674100635832
0.14501450145014502,2.0,0.2526081954151743,0.018253412485818292
0.14601460146014603,2.0,0.2541199882201009,0.01848842983093202
0.147014701470147,2.0,0.25562899557273194,0.018724722066361582
0.148014801480148,2.0,0.25713522431632807,0.018962285133317866
0.149014901490149,2.0,0.2586386812765268,0.01920111498383807
0.15001500150015,2.0,0.2601393732613432,0.019441207580785706
0.15101510151015102,2.0,0.2616373070611693,0.01968255889785061
0.15201520152015202,2.0,0.2631324894487745,0.01992516491954892
0.15301530153015303,2.0,0.26462492717930547,0.020169021641223105
0.15401540154015403,2.0,0.266114626990286,0.020414125069041937
0.155015501550155,2.0,0.2676015956016171,0.020660471220000504
0.156015601560156,2.0,0.2690858397155772,0.020908056121920225
0.157015701570157,2.0,0.27056736601682174,0.02115687581344882
0.15801580158015802,2.0,0.27204618117238344,0.021406926344060332
0.15901590159015902,2.0,0.27352229183167237,0.02165820377405511
0.16001600160016002,2.0,0.27499570462647566,0.021910704174559828
0.16101610161016103,2.0,0.27646642617095785,0.02216442362752747
0.162016201620162,2.0,0.2779344630616604,0.022419358225737332
0.163016301630163,2.0,0.27939982187750245,0.02267550407279504
0.164016401640164,2.0,0.28086250917978006,0.02293285728313253
0.16501650165016502,2.0,0.2823225315121665,0.02319141398200804
0.16601660166016602,2.0,0.28377989540071247,0.02345117030550614
0.16701670167016702,2.0,0.2852346073538457,0.023712122400537713
0.16801680168016803,2.0,0.2866866738623713,0.02397426642483995
0.16901690169016903,2.0,0.2881361013994715,0.024237598546976356
0.17001700170017,2.0,0.289617550301198,0.024502323835531248
0.171017101710171,2.0,0.29116552065883666,0.024768666969650133
0.172017201720172,2.0,0.292769375636958,0.02503659013546592
0.17301730173017302,2.0,0.29441877520416104,0.025306054330694706
0.17401740174017402,2.0,0.29610376256030213,0.0255770198734185
0.17501750175017503,2.0,0.2978147641364948,0.025849446402085224
0.17601760176017603,2.0,0.2995425895951097,0.026123292875508696
0.177017701770177,2.0,0.3012784318297746,0.02639851757286865
0.178017801780178,2.0,0.3030138669653746,0.026675078093710745
0.179017901790179,2.0,0.3047408543580518,0.026952931357946526
0.18001800180018002,2.0,0.3064517365952056,0.027232033605853453
0.18101810181018102,2.0,0.30813923949549243,0.027512340398074906
0.18201820182018202,2.0,0.3097964721088261,0.027793806615620163
0.18301830183018303,2.0,0.31141692671637744,0.02807638645986441
0.18401840184018403,2.0,0.31299447883057446,0.028360033452548748
0.185018501850185,2.0,0.3145233871951023,0.028644700435780185
0.186018601860186,2.0,0.3159982937849035,0.028930339572031644
0.18701870187018702,2.0,0.3174142238061775,0.029216902344141954
0.18801880188018802,2.0,0.3187665856963811,0.02950433955531584
0.18901890189018902,2.0,0.3200511711242282,0.02979260132912396
0.19001900190019003,2.0,0.3212641549896898,0.030081637109502856
0.19101910191019103,2.0,0.3224020954239942,0.030371395660754995
0.192019201920192,2.0,0.32346193378962673,0.030661825067548748
0.193019301930193,2.0,0.32444099468033005,0.030952872734918403
0.19401940194019401,2.0,0.325336985921104,0.031244485388264152
0.19501950195019502,2.0,0.32614799856820537,0.03153660907335209
0.19601960196019602,2.0,0.3268725069091484,0.03182918915631422
0.19701970197019703,2.0,0.32750936846270423,0.032122170323648475
0.19801980198019803,2.0,0.3280578239789014,0.032415496582218664
0.19901990199019903,2.0,0.32851749743902553,0.03270911125925454
0.2000200020002,0.0,0.32888839605561937,0.03300295700235173
0.201020102010201,0.0,0.32917091027248296,0.033296975779471806
0.20202020202020202,0.0,0.3293658137646734,0.03359110887894223
0.20302030203020302,0.0,0.32947426343850494,0.03388529690945637
0.20402040204020402,0.0,0.32949779943154917,0.034179479800073506
0.20502050205020503,0.0,0.3294383451126347,0.03447359680021883
0.20602060206020603,0.0,0.32929820708184737,0.03476758647968344
0.20702070207020704,0.0,0.3290800751705302,0.035061386728624355
0.208020802080208,0.0,0.32878702244128327,0.03535493475756448
0.20902090209020902,0.0,0.32842250518796406,0.03564816709739266
0.21002100210021002,0.0,0.327990362935687,0.03594101959936361
0.21102110211021102,0.0,0.32749481844082384,0.036233427435098
0.21202120212021203,0.0,0.32694047769100343,0.036525325096582364
0.21302130213021303,0.0,0.3263323299051118,0.036816646396169175
0.21402140214021403,0.0,0.3256757475332921,0.03710732446657681
0.215021502150215,0.0,0.3249764862569448,0.03739729176088953
0.21602160216021601,0.0,0.3242406849887274,0.03768648005255756
0.21702170217021702,0.0,0.3234748658725547,0.03797482043539698
0.21802180218021802,0.0,0.3226859342835985,0.0382622433235898
